year,name_first,name_last,ab,bb,so,obp,slg
2013,Bryan,Holaday,27,2,3,.367,.444
2013,Nick,Castellanos,18,0,1,.278,.278
2013,Danny,Worth,2,0,1,.000,.000
2013,Doug,Fister,5,0,1,.400,.400
2013,Anibal,Sanchez,4,1,4,.200,.000
2013,Max,Scherzer,3,0,0,.333,.667
2013,Rick,Porcello,3,0,0,.333,.333
2013,Justin,Verlander,2,0,1,.000,.000
2013,Jose,Alvarez,1,1,0,.500,.000
2013,Brayan,Villarreal,0,0,0,0.0,0.0
2013,Octavio,Dotel,0,0,0,0.0,0.0
2013,Evan,Reed,0,0,0,0.0,0.0
2013,Jose,Ortega,0,0,0,0.0,0.0
2013,Drew,Smyly,0,0,0,0.0,0.0
2013,Bruce,Rondon,0,0,0,0.0,0.0
2013,Jeremy,Bonderman,0,0,0,0.0,0.0
2013,Phil,Coke,0,0,0,0.0,0.0
2013,Luke,Putkonen,0,0,0,0.0,0.0
2013,Jose,Valverde,0,0,0,0.0,0.0
2013,Al,Alburquerque,0,0,0,0.0,0.0
2013,Darin,Downs,0,0,0,0.0,0.0
2013,Jose,Veras,0,0,0,0.0,0.0
2013,Joaquin,Benoit,0,0,0,0.0,0.0
2013,Jason,Castro,435,50,130,.350,.485
2013,Chris,Carter,506,70,212,.320,.451
2013,Jose,Altuve,626,32,85,.316,.363
2013,Jonathan,Villar,210,24,71,.321,.319
2013,Matt,Dominguez,543,30,96,.286,.403
2013,J.D.,Martinez,296,10,82,.272,.378
2013,Brandon,Barnes,408,21,127,.289,.346
2013,L.J.,Hoes,167,12,34,.337,.371
2013,Carlos,Pena,277,43,89,.324,.350
2013,Robbie,Grossman,257,23,70,.332,.370
2013,Brett,Wallace,262,18,104,.284,.431
2013,Marwin,Gonzalez,204,9,37,.252,.319
2013,Carlos,Corporan,191,10,60,.287,.361
2013,Trevor,Crowe,165,16,39,.287,.291
2013,Ronny,Cedeno,141,6,42,.260,.298
2013,Justin,Maxwell,137,12,43,.311,.387
2013,Marc,Krauss,134,10,45,.267,.366
2013,Jake,Elmore,120,13,20,.313,.325
2013,Jimmy,Paredes,125,6,44,.231,.248
2013,Brandon,Laird,71,3,26,.224,.423
2013,Rick,Ankiel,62,3,35,.231,.484
2013,Cody,Clark,38,1,15,.128,.132
2013,Fernando,Martinez,33,1,12,.229,.273
2013,Matt,Pagnozzi,21,1,3,.182,.143
2013,Max,Stassi,7,0,2,.375,.286
2013,Jordan,Lyles,6,0,5,.000,.000
2013,Lucas,Harrell,4,2,2,.500,.250
2013,Bud,Norris,4,0,0,.250,.250
2013,Erik,Bedard,3,0,1,.000,.000
2013,Dallas,Keuchel,2,0,2,.000,.000
2013,Wesley,Wright,1,0,1,.000,.000
2013,Jose,Cisnero,1,0,1,.000,.000
2013,Brad,Peacock,0,0,0,0.0,0.0
2013,David,Martinez,0,0,0,0.0,0.0
2013,Paul,Clemens,0,0,0,0.0,0.0
2013,Brett,Oberholtzer,0,0,0,0.0,0.0
2013,Kevin,Chapman,0,0,0,0.0,0.0
2013,Wade,LeBlanc,0,0,0,0.0,0.0
2013,Josh,Fields,0,0,0,0.0,0.0
2013,Jorge,De,0,0,0,0.0,0.0
2013,Chia-Jen,Lo,0,0,0,0.0,0.0
2013,Xavier,Cedeno,0,0,0,0.0,0.0
2013,Philip,Humber,0,0,0,0.0,0.0
2013,Jarred,Cosart,0,0,0,0.0,0.0
2013,Rhiner,Cruz,0,0,0,0.0,0.0
2013,Travis,Blackley,0,0,0,0.0,0.0
2013,Hector,Ambriz,0,0,0,0.0,0.0
2013,Josh,Zeid,0,0,0,0.0,0.0
2013,Jose,Veras,0,0,0,0.0,0.0
2013,Edgar,Gonzalez,0,0,0,0.0,0.0
